Year,BU Start,BU End,FU Start,FU End
2004,2004-03-26,2004-07-16,2004-10-01,2004-12-24
2005,2005-04-15,2005-07-01,2005-10-14,2006-01-27
2006,2006-03-31,2006-06-16,2006-09-22,2006-12-15
2007,2007-04-20,2007-06-29,2007-09-28,2007-12-14
2008,2008-04-25,2008-07-04,2008-10-10,2009-01-02
2009,2009-04-24,2009-07-17,2009-09-25,2010-01-01
2010,2010-04-09,2010-06-18,2010-10-08,2011-01-14
2011,2011-04-22,2011-07-01,2011-10-14,2012-01-20
2012,2012-04-06,2012-06-29,2012-10-12,2013-01-04
2013,2013-04-12,2013-07-05,2013-10-04,2014-01-17
2014,2014-05-09,2014-07-04,2014-10-10,2015-01-02
2015,2015-04-17,2015-06-26,2015-10-09,2016-01-01
2016,2016-04-15,2016-06-24,2016-09-30,2017-01-13
2017,2017-04-21,2017-06-23,2017-10-13,2017-12-22
2018,2018-04-20,2018-06-29,2018-09-14,2018-12-21
2019,2019-04-26,2019-07-05,2019-10-11,2020-01-03
2020,2020-05-01,2020-07-10,,
2021,2021-04-30,2021-07-16,2021-10-08,2021-12-31
2022,2022-05-13,2022-07-15,2022-10-14,2022-12-23
2023,2023-04-21,2023-06-16,,
