Year,BU Start,BU End,FU Start,FU End
2004,2004-01-31,2004-05-02,2004-01-02,2004-02-05
2005,2005-02-05,2005-04-16,2004-12-09,2005-02-10
2006,2006-03-02,2006-03-31,2006-02-03,2006-03-05
2007,2007-02-16,2007-05-02,2007-01-16,2007-02-22
2008,2008-03-08,2008-04-26,2007-12-29,2008-03-13
2009,2009-02-03,2009-04-17,2008-11-18,2009-02-08
2010,2010-02-06,2010-04-01,2009-12-05,2010-02-11
2011,2011-01-30,2011-04-22,2010-12-01,2011-02-04
2012,2012-01-21,2012-03-03,2012-01-02,2012-01-26
2013,2013-02-21,2013-04-11,2012-12-29,2013-02-25
2014,2014-03-07,2014-05-12,2013-12-06,2014-03-09
2015,2015-02-16,2015-04-24,2014-12-06,2015-02-21
2016,2016-02-13,2016-03-11,2016-01-01,2016-02-18
2017,2017-02-06,2017-02-25,2016-12-08,2017-02-11
2018,2018-02-08,2018-04-20,2017-12-07,2018-02-12
2019,2019-02-28,2019-05-07,2019-01-09,2019-03-05
2020,2020-02-28,2020-03-12,2020-01-16,2020-03-03
2021,2021-02-18,2021-03-27,2020-12-24,2021-02-23
2022,2022-02-03,2022-04-10,2022-01-02,2022-02-03
2023,2023-02-03,2023-02-21,2022-12-13,2023-02-08
