Year,BU Start,BU End,FU Start,FU End
2004,2004-06-04,2004-08-20,2004-09-17,2005-02-04
2005,2005-05-06,2005-08-05,2005-09-09,2006-01-27
2006,2006-04-28,2006-07-21,2006-09-22,2006-12-15
2007,2007-05-18,2007-08-03,2007-09-14,2007-12-21
2008,2008-05-16,2008-08-01,2008-09-26,2009-01-09
2009,2009-05-22,2009-08-15,2009-09-18,2010-01-15
2010,2010-04-16,2010-07-16,2010-09-24,2010-12-31
2011,2011-04-29,2011-07-29,2011-09-30,2012-01-06
2012,2012-05-11,2012-07-20,2012-09-21,2012-12-21
2013,2013-05-24,2013-07-26,2013-09-27,2014-01-24
2014,2014-05-16,2014-08-01,2014-09-12,2014-12-26
2015,2015-05-22,2015-07-24,2015-09-18,2016-01-01
2016,2016-05-13,2016-07-22,2016-09-16,2017-01-06
2017,2017-05-12,2017-07-21,2017-09-22,2017-12-22
2018,2018-05-25,2018-08-03,2018-08-31,2019-01-04
2019,2019-05-10,2019-08-02,2019-09-27,2019-12-20
2021,2021-05-28,2021-07-30,2021-09-24,2022-01-07
2022,2022-05-20,2022-07-29,2022-09-30,2023-01-06
2023,2023-05-19,2023-07-14,,
