Year,BU Start,BU End,FU Start,FU End
2004,2004-03-12,2004-07-30,2004-10-01,2005-01-28
2005,2005-04-15,2005-07-29,2005-10-07,2006-01-27
2006,2006-04-14,2006-06-30,2006-09-29,2007-01-05
2007,2007-04-20,2007-07-20,2007-10-12,2008-01-11
2008,2008-04-18,2008-08-01,2008-10-10,2009-01-02
2009,2009-04-17,2009-07-24,2009-09-25,2010-01-01
2010,2010-04-02,2010-07-09,2010-10-08,2010-12-31
2011,2011-04-29,2011-07-15,2011-10-14,2012-02-03
2012,2012-04-20,2012-06-29,2012-10-05,2013-01-11
2013,2013-04-05,2013-07-26,2013-10-11,2014-02-07
2014,2014-04-25,2014-07-11,2014-10-10,2015-01-16
2015,2015-04-03,2015-07-17,2015-10-09,2016-01-08
2016,2016-04-15,2016-07-01,2016-09-30,2017-01-27
2017,2017-05-05,2017-07-07,2017-10-13,2018-01-05
2018,2018-05-04,2018-07-13,2018-09-14,2018-12-28
2019,2019-04-19,2019-07-05,2019-10-11,2019-12-20
2020,2020-04-24,2020-07-17,,
2021,2021-05-07,2021-07-16,2021-10-15,2022-01-07
2022,2022-05-13,2022-07-15,2022-10-07,2022-12-30
2023,,2023-04-28,,
