Year,BU Start,BU End,FU Start,FU End
2004,2004-02-17,2004-05-01,2004-11-29,2005-03-12
2005,2005-03-06,2005-05-03,2005-11-22,2006-03-05
2006,2006-02-27,2006-04-26,2006-11-29,2007-03-11
2007,2007-03-05,2007-05-03,2007-11-22,2008-03-20
2008,2008-03-14,2008-05-04,2008-11-17,2009-03-05
2009,2009-02-27,2009-05-10,2009-12-04,2010-02-21
2010,2010-02-15,2010-04-21,2010-12-02,2011-02-27
2011,2011-02-21,2011-05-11,2011-12-02,2012-03-08
2012,2012-03-02,2012-04-09,2012-12-05,2013-02-21
2013,2013-02-15,2013-05-07,2013-11-22,2014-03-09
2014,2014-03-03,2014-05-16,2014-11-12,2015-03-09
2015,2015-03-03,2015-05-16,2015-11-13,2016-02-17
2016,2016-02-11,2016-04-30,2016-12-07,2017-03-17
2017,2017-03-11,2017-04-20,2017-12-06,2018-02-14
2018,2018-02-08,2018-05-16,2018-11-10,2019-03-12
2019,2019-03-06,2019-05-07,2019-11-06,2020-03-04
2020,2020-02-27,2020-04-25,2020-11-10,2021-02-23
2021,2021-02-17,2021-04-16,2021-11-25,2022-03-01
2022,2022-02-23,2022-05-04,2022-11-30,2023-02-27
2023,2023-02-21,2023-04-29,,
