Year,BU Start,BU End,FU Start,FU End
2004,2004-02-16,2004-05-21,2004-11-23,2005-03-20
2005,2005-03-14,2005-05-16,2005-11-16,2006-03-05
2006,2006-02-27,2006-05-08,2006-11-16,2007-03-11
2007,2007-03-05,2007-05-13,2007-11-20,2008-03-13
2008,2008-03-07,2008-05-23,2008-11-15,2009-03-05
2009,2009-02-27,2009-05-24,2009-11-28,2010-02-25
2010,2010-02-19,2010-05-02,2010-11-18,2011-04-05
2011,2011-03-30,2011-05-19,2011-11-16,2012-02-05
2012,2012-01-19,2012-05-05,2012-11-12,2013-02-20
2013,2013-02-14,2013-05-28,2013-11-10,2014-02-28
2014,2014-02-28,2014-06-05,2014-11-08,2015-03-03
2015,2015-02-25,2015-05-26,2015-11-20,2016-02-17
2016,2016-02-11,2016-05-11,2016-11-19,2017-03-07
2017,2017-03-01,2017-05-11,2017-11-05,2018-02-14
2018,2018-02-08,2018-05-23,2018-11-08,2019-03-11
2019,2019-03-05,2019-05-21,2019-10-30,2020-02-20
2020,2020-02-14,2020-05-20,2020-11-13,2021-02-22
2021,2021-02-16,2021-05-07,2021-11-17,2022-03-18
2022,2022-03-12,2022-05-19,2022-11-11,2023-02-27
2023,2023-02-21,2023-05-20,,
