Year,BU Start,BU End,FU Start,FU End
2004,2004-03-26,2004-06-25,2004-10-22,2004-12-31
2005,2005-03-25,2005-06-17,2005-10-28,2006-01-27
2006,2006-03-03,2006-06-02,2006-10-13,2007-01-12
2007,2007-04-13,2007-06-08,2007-10-19,2007-12-21
2008,2008-04-18,2008-06-20,2008-10-24,2008-12-26
2009,2009-03-27,2009-06-19,2009-10-16,2010-01-22
2010,2010-03-19,2010-06-11,2010-10-29,2010-12-31
2011,2011-04-22,2011-06-17,2011-10-21,2012-01-20
2012,2012-04-13,2012-06-01,2012-10-19,2012-12-21
2013,2013-04-12,2013-06-21,2013-10-25,2013-12-27
2014,2014-04-25,2014-06-27,2014-10-24,2014-12-12
2015,2015-04-03,2015-06-19,2015-10-30,2016-01-15
2016,2016-04-08,2016-06-10,2016-11-04,2017-01-06
2017,2017-03-31,2017-06-16,2017-10-13,2017-12-08
2018,2018-04-20,2018-06-22,2018-10-19,2018-12-14
2019,2019-04-19,2019-06-28,2019-10-11,2019-12-20
2020,2020-04-10,2020-06-19,,
2021,2021-04-09,2021-06-18,2021-10-22,2022-01-07
2022,2022-04-22,2022-07-01,2022-10-21,2022-12-23
2023,2023-04-21,2023-06-16,,
